minister,total_words,total_sentences,avg_words_per_sentence
Tharman Shanmugaratnam,15300.333333333334,800.8888888888889,19.1713401518207
Heng Swee Keat,14200.833333333334,785.8333333333334,18.03709892225632
Lawrence Wong,14040.25,778.5,18.052637931102172
Lee Hsien Loong,13690.4,779.6,17.579149877788883
Goh Keng Swee,10887.333333333334,529.1111111111111,20.573595027883407
Lim Kim San,10232.0,491.0,20.861146814750107
Dr Tony Tan Keng Yam,10022.0,514.25,19.59456645603438
Hon Sui Sen,9966.5,454.0,21.136719340178416
Dr Richard Hu Tsu Tau,9164.75,505.75,18.168510228058146
Goh Chok Tong,7405.333333333333,415.6666666666667,17.82761613364295
