minister,days_before_fy_mean,days_before_fy_std,days_before_fy_min,days_before_fy_max,total_words_mean,total_words_std,readability_mean,readability_std,avg_words_per_sentence_mean,avg_words_per_sentence_std,count
Dr Richard Hu Tsu Tau,23.62,33.41,-101,37,9164.75,1539.95,59.05,2.51,18.17,0.82,16
Dr Tony Tan Keng Yam,27.25,2.5,24,30,10022.0,1267.19,56.84,0.39,19.59,0.95,4
Goh Chok Tong,26.67,0.58,26,27,7405.33,1898.64,58.92,1.57,17.83,0.19,3
Goh Keng Swee,33.44,11.06,23,60,10887.33,2480.25,60.92,2.1,20.57,1.09,9
Heng Swee Keat,36.33,13.95,8,44,14200.83,2482.38,62.12,1.46,18.04,0.58,6
Hon Sui Sen,29.5,3.66,24,34,9966.5,5169.87,56.11,2.09,21.14,2.61,8
Lawrence Wong,43.75,2.06,42,46,14040.25,1256.84,64.46,1.27,18.05,1.39,4
Lee Hsien Loong,23.8,31.56,-32,43,13690.4,1325.22,61.27,1.97,17.58,0.63,5
Lim Kim San,23.0,5.66,19,27,10232.0,478.0,58.69,0.8,20.86,0.59,2
Tharman Shanmugaratnam,43.89,10.15,35,69,15300.33,2413.97,63.56,3.07,19.17,1.05,9
