year,total_sentences,total_words,total_chars,avg_words_per_sentence,minister,total_syllables,readability,cluster
1960,560,11784,69556,21.042857142857144,Goh Keng Swee,17540,59.552874745417526,2
1961,715,14873,87310,20.801398601398603,Goh Keng Swee,22125,59.87104589392992,2
1962,530,10277,60565,19.390566037735848,Goh Keng Swee,15085,62.97424298167188,0
1963,463,9823,58450,21.21598272138229,Goh Keng Swee,14634,59.26632777703145,2
1964,577,11916,70416,20.651646447140383,Goh Keng Swee,17690,60.27992326702865,2
1965,382,7185,41801,18.808900523560208,Goh Keng Swee,10543,63.60509331722942,0
1966,465,9894,58236,21.27741935483871,Lim Kim San,14733,59.2618881237896,2
1967,517,10570,62742,20.444874274661508,Lim Kim San,15987,58.12695308425549,2
1968,361,8111,47835,22.46814404432133,Goh Keng Swee,12015,58.710021194841275,2
1969,518,10272,59660,19.83011583011583,Goh Keng Swee,14863,64.29604224551656,0
1970,656,13745,81919,20.952743902439025,Goh Keng Swee,20439,59.76662627041763,2
1971,655,14148,85297,21.6,Hon Sui Sen,21596,55.774613231552166,2
1972,592,14659,89064,24.761824324324323,Hon Sui Sen,22552,51.549677910374214,2
1973,510,11513,68397,22.57450980392157,Hon Sui Sen,17103,58.245350356715264,2
1974,736,17647,106329,23.976902173913043,Hon Sui Sen,26540,55.265260182864566,2
1975,255,5102,30989,20.007843137254902,Hon Sui Sen,7797,57.23926971353026,0
1976,271,4579,28095,16.89667896678967,Hon Sui Sen,7160,57.39921895964977,0
1977,254,4877,29586,19.200787401574804,Hon Sui Sen,7493,57.36715629283526,0
1978,359,7207,43744,20.075208913649025,Hon Sui Sen,11107,56.07817176352458,0
1979,292,5235,31471,17.92808219178082,Goh Chok Tong,7957,60.04922866703302,0
1980,488,8759,52989,17.94877049180328,Goh Chok Tong,13358,59.59692716648357,0
1981,467,8222,50428,17.605995717344754,Goh Chok Tong,12813,57.12597005110331,0
1982,548,10809,65671,19.724452554744527,Dr Tony Tan Keng Yam,16546,57.3122660024797,2
1983,552,10613,65057,19.22644927536232,Dr Tony Tan Keng Yam,16424,56.39860494188153,0
1984,567,10537,64441,18.583774250440918,Dr Tony Tan Keng Yam,16354,56.66864451778977,0
1985,390,8129,48954,20.843589743589742,Dr Tony Tan Keng Yam,12367,56.973109959278446,2
1986,392,6795,40875,17.334183673469386,Dr Richard Hu Tsu Tau,10375,60.068618140965015,0
1987,450,8357,50244,18.57111111111111,Dr Richard Hu Tsu Tau,12792,58.488708604895464,0
1988,431,8144,49973,18.895591647331788,Dr Richard Hu Tsu Tau,12714,55.58274265084626,0
1989,326,6031,35859,18.5,Dr Richard Hu Tsu Tau,9079,60.70160545514841,0
1990,473,8955,55031,18.932346723044397,Dr Richard Hu Tsu Tau,13932,55.99977360374814,0
1991,447,7963,48103,17.814317673378078,Dr Richard Hu Tsu Tau,12124,59.946435036091145,0
1992,525,8692,52265,16.556190476190476,Dr Richard Hu Tsu Tau,13110,62.42968433808869,0
1993,626,11011,64975,17.589456869009584,Dr Richard Hu Tsu Tau,16358,63.29949257756476,1
1994,568,10099,61726,17.779929577464788,Dr Richard Hu Tsu Tau,15660,57.60350168978522,0
1995,469,8920,54075,19.01918976545842,Dr Richard Hu Tsu Tau,13643,58.13615019075033,0
1996,616,10916,65997,17.72077922077922,Dr Richard Hu Tsu Tau,16554,60.55339260135253,0
1997,495,9707,58817,19.610101010101012,Dr Richard Hu Tsu Tau,14975,56.418230734250926,0
1998,634,11335,69245,17.878548895899055,Dr Richard Hu Tsu Tau,17545,57.73926537176527,0
1999,529,10138,61838,19.16446124763705,Dr Richard Hu Tsu Tau,15736,56.06865084331503,0
2000,631,10926,66546,17.315372424722664,Dr Richard Hu Tsu Tau,16862,58.69745876814869,0
2001,480,8647,51262,18.014583333333334,Dr Richard Hu Tsu Tau,12830,63.024813390241306,0
2002,781,12936,77203,16.56338028169014,Lee Hsien Loong,19299,63.80985732577284,1
2003,814,14407,87297,17.6990171990172,Lee Hsien Loong,21830,60.68156160907657,1
2004,886,15635,97619,17.646726862302483,Lee Hsien Loong,24096,58.54163427505719,1
2005,673,12323,74693,18.310549777117384,Lee Hsien Loong,18539,60.97563795528943,1
2006,744,13151,79441,17.676075268817204,Lee Hsien Loong,19673,62.337947544056135,1
2007,991,17239,100742,17.395560040363268,Tharman Shanmugaratnam,24830,67.32584689199724,1
2008,691,13912,81009,20.13314037626628,Tharman Shanmugaratnam,20051,64.468105761333,1
2009,888,17301,103595,19.48310810810811,Tharman Shanmugaratnam,25790,60.949362627648455,1
2010,708,14198,86854,20.05367231638418,Tharman Shanmugaratnam,21740,56.94086912655001,2
2011,912,18699,110889,20.50328947368421,Tharman Shanmugaratnam,27068,63.56024332764066,1
2012,651,12723,74315,19.543778801843317,Tharman Shanmugaratnam,18228,65.79325432985222,1
2013,722,13718,80987,19.0,Tharman Shanmugaratnam,20001,64.20223793555914,1
2014,666,12238,73648,18.375375375375377,Tharman Shanmugaratnam,18075,63.23343017637676,1
2015,979,17675,104080,18.054136874361593,Tharman Shanmugaratnam,25680,65.59474697068426,1
2016,774,13784,82832,17.808785529715763,Heng Swee Keat,20377,63.69421037161014,1
2017,565,9720,58890,17.20353982300885,Heng Swee Keat,14574,62.525629301868264,0
2018,723,13631,82161,18.853388658367912,Heng Swee Keat,20285,61.80115076558977,1
2019,875,15704,95608,17.94742857142857,Heng Swee Keat,23496,62.04158975038206,1
2020,892,15941,96286,17.871076233183857,Heng Swee Keat,23653,63.16773517177835,1
2021,886,16425,100610,18.53837471783296,Heng Swee Keat,24952,59.49865925044068,1
2022,852,15655,92786,18.374413145539908,Lawrence Wong,22834,64.78948039857372,1
2023,726,14419,85816,19.860881542699726,Lawrence Wong,21149,62.589555674550965,1
2024,757,13066,77450,17.260237780713343,Lawrence Wong,19137,65.4072255590508,1
2025,779,13021,78038,16.71501925545571,Lawrence Wong,19212,65.04510984477628,1
